Country Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Critital
USA,"101,089,424","+41,389","1,108,631                                ",+258,"98,404,398","+28,564","1,576,395","3,580"
India,"44,675,288",+119,"530,638                                ",,"44,139,056",,"5,594",698
France,"38,259,833","+75,752","159,455                                ",+93,"37,091,008","+33,214","1,009,370",869
Germany,"36,649,979",,"158,559                                ",,"35,986,500","+33,100","504,920","1,406"
Brazil,"35,529,611","+47,359","690,635                                ",+170,"34,262,104",,"576,872","8,318"
S. Korea,"27,483,568","+74,714","30,847                                ",+54,"26,481,961","+50,411","970,760",441
Japan,"25,554,733","+149,383","50,819                                ",+211,"20,779,773","+4,812","4,724,141",346
Italy,"24,488,080",,"181,733                                ",,"23,799,178",,"507,169",320
UK,"24,024,746",,"197,253                                ",,"23,761,967","+3,547","65,526",146
Russia,"21,635,764","+6,935","392,400                                ",+58,"21,037,111","+6,794","206,253","2,300"
Turkey,"17,005,537",,"101,400                                ",,N/A,N/A,N/A,
Spain,"13,614,807",,"116,108                                ",,"13,403,322",,"95,377",339
Vietnam,"11,519,011",+500,"43,178                                ",,"10,609,257",+118,"866,576",44
Australia,"10,763,649","+4,377","16,284                                ",+20,"10,546,102",,"201,263",92
Argentina,"9,739,856",,"130,034                                ",,"9,591,684",,"18,138",241
Netherlands,"8,547,416",,"22,926                                ",,"8,500,604",,"23,886",43
Taiwan,"8,412,200","+16,741","14,548                                ",+26,"8,097,706","+20,099","299,946",
Iran,"7,559,999",+41,"144,649                                ",+1,"7,335,383",+26,"79,967",75
Mexico,"7,148,886","+3,477","330,602                                ",+10,"6,409,136","+1,921","409,148","4,798"
Indonesia,"6,689,532","+3,351","160,112                                ",+41,"6,481,690","+3,240","47,730","2,771"
Poland,"6,356,082",+658,"118,350                                ",+4,"5,335,940",,"901,792","1,530"
Colombia,"6,318,021",,"141,911                                ",,"6,142,640",,"33,470",342
Austria,"5,595,286","+6,689","21,247                                ",+1,"5,525,549","+3,377","48,490",47
Portugal,"5,546,290",,"25,517                                ",,"5,503,077","+1,135","17,696",61
Greece,"5,404,690",,"34,309                                ",,"5,351,445","+6,312","18,936",115
Ukraine,"5,341,284",,"110,586                                ",,"5,218,950","+1,047","11,748",
Malaysia,"5,005,239","+1,682","36,738                                ",+6,"4,946,495","+1,428","22,006",91
Chile,"4,945,425","+4,198","62,605                                ",+8,"4,874,626","+7,072","8,194",132
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,
Israel,"4,733,461","+2,959","11,905                                ",+23,"4,708,253","+4,237","13,303",22
Thailand,"4,711,528",,"33,285                                ",,"4,649,509",,"28,734","1,496"
Belgium,"4,644,478",,"33,086                                ",,"4,586,036",,"25,356",48
Czechia,"4,564,148","+1,271","41,931                                ",+4,"4,512,605",+209,"9,612",43
Canada,"4,423,053",,"48,044                                ",,"4,314,332","+2,449","60,677",99
Switzerland,"4,335,513",,"14,343                                ",+1,"4,238,840","+2,791","82,330",66
Peru,"4,316,167",,"217,542                                ",,"3,992,386","+6,653","106,239",117
Philippines,"4,044,000","+1,037","64,794                                ",+24,"3,961,780","+1,095","17,426",162
South Africa,"4,043,543",+301,"102,464                                ",,"3,912,506",,"28,573",192
Romania,"3,298,738",,"67,289                                ",,"3,227,158",+215,"4,291",101
Denmark,"3,150,954",,"7,557                                ",,"3,136,803",,"6,594",9
Sweden,"2,632,091",,"21,095                                ",,"2,596,044",+153,"14,952",19
Iraq,"2,464,375",,"25,366                                ",,"2,437,963",,"1,046",21
Serbia,"2,427,599",+751,"17,420                                ",+2,"2,399,852",+493,"10,327",23
Hong Kong,"2,189,417","+11,981","10,864                                ",+22,"1,912,284","+4,402","266,269",21
Singapore,"2,176,338","+1,349","1,707                                ",+1,"2,100,803",+914,"73,828",5
Hungary,"2,171,056","+4,704","48,337                                ",+50,"2,109,635","+5,277","13,084",14
Bangladesh,"2,036,717",+32,"29,436                                ",+1,"1,986,280",+70,"21,001","1,331"
New Zealand,"1,979,614",,"3,337                                ",,"1,942,897",,"33,380",
Slovakia,"1,856,699",+147,"20,747                                ",+2,"1,834,459",+72,"1,493",23
Georgia,"1,806,918",,"16,882                                ",,"1,776,548",,"13,488",
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59
Ireland,"1,680,548",,"8,159                                ",,"1,667,043",+191,"5,346",10
Pakistan,"1,575,383",+28,"30,634                                ",+2,"1,538,689",,"6,060",35
Norway,"1,470,201",+218,"4,325                                ",,"1,463,297",+167,"2,579",20
Finland,"1,405,255",,"7,448                                ",,"1,372,645","+1,855","25,162",21
Kazakhstan,"1,397,842",+175,"13,693                                ",,"1,382,292",,"1,857",24
Bulgaria,"1,288,400",+204,"38,054                                ",+1,"1,245,848",+134,"4,498",43
Lithuania,"1,279,048",+554,"9,442                                ",+1,"1,263,150",+274,"6,456",6
Morocco,"1,269,717",+147,"16,287                                ",+1,"1,252,343",+131,"1,087",293
Slovenia,"1,269,016","+2,265","6,944                                ",,"1,242,639",,"19,433",17
Croatia,"1,255,643",+488,"17,371                                ",+7,"1,235,760",+97,"2,512",12
Lebanon,"1,220,831",+31,"10,740                                ",,"1,087,587",,"122,504",74
Guatemala,"1,164,240","+2,257","19,959                                ",+1,"1,134,762",+807,"9,519",5
Costa Rica,"1,148,914",,"9,046                                ",,"860,711",,"279,157",52
Tunisia,"1,147,145",,"29,269                                ",,N/A,N/A,N/A,44
Bolivia,"1,113,808",+811,"22,252                                ",+1,"1,078,710",+114,"12,846",220
Cuba,"1,111,466",+14,"8,530                                ",,"1,102,833",+18,103,23
UAE,"1,045,040",+106,"2,348                                ",,"1,025,425",+210,"17,267",
Ecuador,"1,011,132",,"35,940                                ",,"973,448",,"1,744",759
Panama,"1,009,252",,"8,533                                ",,"991,093",,"9,626",16
Nepal,"1,000,921",+9,"12,019                                ",,"988,830",+16,72,
Uruguay,"995,402",,"7,541                                ",,"986,371",,"1,490",18
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",
Mongolia,"993,779",+74,"2,179                                ",,"988,815",+263,"2,785",192
Latvia,"966,813",+682,"6,107                                ",+2,"950,319",,"10,387",3
Saudi Arabia,"826,009",+73,"9,477                                ",+1,"813,448",+43,"3,084",27
Azerbaijan,"824,641",+67,"9,984                                ",,"814,353",+55,304,
Paraguay,"778,895","+1,370","19,646                                ",+16,N/A,N/A,N/A,7
Bahrain,"696,851",,"1,536                                ",,"694,364",,951,2
Sri Lanka,"671,722",+3,"16,806                                ",,"654,895",+3,21,
Kuwait,"662,747",,"2,570                                ",,"660,095",,82,
Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4
Myanmar,"633,369",+28,"19,488                                ",,"607,901",+24,"5,980",
Palestine,"620,816",,"5,404                                ",,"614,962",,450,17
Cyprus,"618,248",,"1,237                                ",,"605,050",,"11,961",60
Estonia,"609,769",,"2,799                                ",,"524,990",,"81,980",5
Moldova,"595,402",,"11,920                                ",,"504,142",,"79,340",49
Venezuela,"547,962",,"5,829                                ",,"541,054",,"1,079",36
Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122
Libya,"507,100",,"6,437                                ",,"500,610",,53,
Ethiopia,"494,926",+69,"7,572                                ",,"472,549",+2,"14,805",1
Qatar,"482,499",+595,685                                ,,"479,251",+270,"2,563",3
Réunion,"477,305",,903                                ,,"418,572",,"57,830",10
Honduras,"458,921",,"11,051                                ",,N/A,N/A,N/A,105
Armenia,"445,828",,"8,712                                ",,"434,979",,"2,137",
Bosnia and Herzegovina,"400,626",+13,"16,208                                ",+1,"378,468",,"5,950",
Oman,"399,119",,"4,260                                ",,"384,669",,"10,190",2
North Macedonia,"345,067",,"9,591                                ",,"335,261",,215,
Kenya,"342,026",+49,"5,684                                ",,"335,838",+98,504,1
Zambia,"333,746",,"4,019                                ",,"329,690",,37,
Albania,"333,472",+17,"3,593                                ",,"328,281",+18,"1,598",
Botswana,"326,800",,"2,793                                ",,"323,747",,260,1
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",
Montenegro,"283,942",+47,"2,790                                ",,"280,866",+20,286,6
Algeria,"271,128",+6,"6,881                                ",,"182,589",+3,"81,658",
Nigeria,"266,283",,"3,155                                ",,"259,640",,"3,488",11
Zimbabwe,"259,356",,"5,622                                ",,"253,061",,673,12
Uzbekistan,"247,581",+157,"1,637                                ",,"241,486",,"4,458",23
Brunei ,"241,044",,225                                ,,"222,140",,"18,679",3
Mozambique,"230,624",,"2,226                                ",,"228,310",,88,11
Martinique,"224,468",,"1,071                                ",,N/A,N/A,N/A,8
Laos,"216,988",+69,758                                ,,N/A,N/A,N/A,
Iceland,"207,504",,219                                ,,N/A,N/A,N/A,2
Kyrgyzstan,"206,543",,"2,991                                ",,"196,406",,"7,146",131
Afghanistan,"206,414",+49,"7,837                                ",+1,"184,109",+14,"14,468","1,124"
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8
Guadeloupe,"197,918",,995                                ,,N/A,N/A,N/A,19
Maldives,"185,632",,311                                ,,"163,687",,"21,634",25
Trinidad and Tobago,"185,528",,"4,268                                ",,"181,075",,185,8
Ghana,"171,023",,"1,461                                ",,"169,553",,9,2
Namibia,"169,946",,"4,080                                ",,"165,826",,40,
Uganda,"169,810",,"3,630                                ",,"100,431",,"65,749",3
Jamaica,"152,517",,"3,399                                ",,"99,392",,"49,726",
Cambodia,"138,188",+12,"3,056                                ",,"135,044",+9,88,
Rwanda,"132,811",,"1,467                                ",,"131,112",,232,
Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13
Malta,"115,918",+11,809                                ,,"114,531",+13,578,4
Angola,"104,808",+58,"1,925                                ",,"102,538",,345,
Barbados,"104,416",,567                                ,,"102,435",,"1,414",
French Guiana,"96,389",,411                                ,,"11,254",,"84,724",2
Channel Islands,"96,208",,208                                ,,"95,434",,566,
DRC,"94,452",,"1,456                                ",,"83,728",,"9,268",
Senegal,"88,887",,"1,968                                ",,"86,887",,32,
Malawi,"88,220",+134,"2,685                                ",,"85,065",+56,470,67
Ivory Coast,"87,891",+1,830                                ,,"87,053",,8,
Suriname,"81,581",,"1,393                                ",,N/A,N/A,N/A,
French Polynesia,"77,416",+141,649                                ,,N/A,N/A,N/A,7
New Caledonia,"77,127",,314                                ,,"75,257",,"1,556",9
Eswatini,"73,908",,"1,422                                ",,"72,392",,94,
Guyana,"71,679",,"1,285                                ",,"70,233",,161,
Belize,"69,117",,688                                ,,"68,379",,50,6
Fiji,"68,451",,878                                ,,"66,524",,"1,049",
Madagascar,"67,488",,"1,413                                ",,"65,602",,473,
Sudan,"63,655",,"4,991                                ",,"58,083",,581,
Mauritania,"63,421",,997                                ,,"62,421",,3,
Cabo Verde,"63,107",+12,412                                ,,"62,581",+18,114,23
Bhutan,"62,512",,21                                ,,"61,564",,927,
Syria,"57,410",+1,"3,163                                ",,"54,241",+2,6,
Burundi,"51,018",,38                                ,,"50,638",,342,
Seychelles,"50,068",,171                                ,,"49,606",,291,
Gabon,"48,973",,306                                ,,"48,582",,85,
Andorra,"47,446",+227,158                                ,+1,"46,952",+221,336,14
Papua New Guinea,"46,338",+91,668                                ,,"43,982",,"1,688",7
Curaçao,"45,986",,295                                ,,"44,720",,971,3
Aruba,"43,693",+52,236                                ,,"42,438",,"1,019",2
Mayotte,"41,679",,187                                ,,N/A,N/A,N/A,
Mauritius,"41,175",,"1,035                                ",,"39,396",,744,
Tanzania,"40,806",,845                                ,,N/A,N/A,N/A,7
Togo,"39,334",+2,290                                ,,"39,037",+2,7,
Guinea,"38,153",,464                                ,,"37,218",,471,8
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,
Bahamas,"37,491",,833                                ,,"36,366",,292,1
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5
Lesotho,"34,490",,706                                ,,"25,980",,"7,804",
Haiti,"33,862",,860                                ,,"32,897",,105,
Mali,"32,760",,742                                ,,"31,943",,75,
Cayman Islands,"31,359",,36                                ,,"8,553",,"22,770",1
Saint Lucia,"29,550",,404                                ,,"29,095",,51,
Benin,"27,980",,163                                ,,"27,746",,71,5
Somalia,"27,286",,"1,361                                ",,"13,182",,"12,743",
Congo,"25,375",,386                                ,,"24,006",,983,
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1
Timor-Leste,"23,360",+5,138                                ,,"23,102",,120,
San Marino,"22,406",,119                                ,,"22,031",,256,4
Micronesia,"22,203",,55                                ,,N/A,N/A,N/A,1
Burkina Faso,"21,631",,387                                ,,"21,143",,101,
Liechtenstein,"21,049",+7,88                                ,,"20,843",+6,118,
Gibraltar,"20,207",,110                                ,,"16,579",,"3,518",
Grenada,"19,613",,237                                ,,"19,358",,18,4
Bermuda,"18,519",,152                                ,,"18,343",,24,
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",
South Sudan,"18,352",,138                                ,,"18,115",,99,1
Tajikistan,"17,786",,125                                ,,"17,264",,397,
Equatorial Guinea,"17,184",,183                                ,,"16,880",,121,5
Tonga,"16,182",,12                                ,,"15,638",,532,
Samoa,"15,967",,29                                ,,"1,605",,"14,333",4
Dominica,"15,760",,74                                ,,"15,673",,13,
Djibouti,"15,690",,189                                ,,"15,427",,74,
Monaco,"15,674",+31,63                                ,,"15,441",+17,170,4
Marshall Islands,"15,541",,17                                ,,"15,390",,134,22
CAR,"15,311",,113                                ,,"14,615",,583,2
Gambia,"12,586",,372                                ,,"12,189",,25,
Saint Martin,"12,058",,63                                ,,"1,399",,"10,596",7
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4
Vanuatu,"11,952",,14                                ,,"11,937",,1,
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23
Caribbean Netherlands,"11,426",,36                                ,,"10,476",,914,
Sint Maarten,"10,964",,89                                ,,"10,873",,2,
Eritrea,"10,189",,103                                ,,"10,086",,0,
Niger,"9,931",,312                                ,,"8,890",,729,1
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1
Comoros,"8,977",,161                                ,,"8,799",,17,
Guinea-Bissau,"8,848",,176                                ,,"8,642",,30,6
Liberia,"8,035",,294                                ,,"7,720",,21,2
Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,
Chad,"7,647",,194                                ,,"4,874",,"2,579",
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,
St. Vincent Grenadines,"7,112",,115                                ,,"6,641",,356,
Saint Kitts and Nevis,"6,552",,46                                ,,"6,482",,24,
Turks and Caicos,"6,446",,36                                ,,"6,392",,18,4
Cook Islands,"6,389",,1                                ,,"6,384",,4,
Sao Tome and Principe,"6,279",,77                                ,,"6,201",,1,
Palau,"5,896",,7                                ,,"5,699",,190,1
St. Barth,"5,348",,6                                ,,N/A,N/A,N/A,
Nauru,"4,621",,1                                ,,"4,609",,11,
Anguilla,"3,904",,12                                ,,"3,879",,13,4
Kiribati,"3,430",,13                                ,,"2,703",,714,3
Saint Pierre Miquelon,"3,282",,1                                ,,"2,449",,832,1
Tuvalu,"2,805",, ,,,,"2,805",
Falkland Islands,"1,930",, ,,"1,930",,0,
Saint Helena,"1,806",, ,,2,,"1,804",
Montserrat,"1,403",,8                                ,,"1,376",,19,
Macao,827,,6                                ,,791,,30,
Wallis and Futuna,761,,7                                ,,438,,316,
Diamond Princess,712,,13                                ,,699,,0,
Niue,180,, ,,114,,66,
Vatican City,29,, ,,29,,0,
Western Sahara,10,,1                                ,,9,,0,
MS Zaandam,9,,2                                ,,7,,0,
China,"349,938","+4,409","5,235                                ",,"301,748","+3,935","42,955",128
